Rk,Player,Team,Salary,PlayerID
423,Vit Krejci,OKC,$1563518,krejcvi01
424,Terry Taylor,IND,$1563518,taylote01
425,Charles Bassey,PHI,$1563518,bassech01
426,Jock Landale,PHO,$1563518,landajo01
427,Dalano Banton,TOR,$1563518,bantoda01
428,Aaron Wiggins,OKC,$1563518,wiggiaa01
429,Ayo Dosunmu,CHI,$1563518,dosunay01
430,Jaden Hardy,DAL,$1017781,hardyja02
431,Max Christie,LAL,$1017781,chrisma02
432,Jabari Walker,POR,$1017781,walkeja01
433,Michael Foster Jr.,PHI,$1017781,fostemi02
434,Orlando Robinson,MIA,$1017781,robinor01
435,Adonis Arms,DEN,$1017781,armsad01
436,Kellan Grady,DEN,$1017781,gradyke01
437,Javon Freeman-Liberty,CHI,$1017781,freemja01
438,Kyle Singler,OKC,$999200,singlky01
439,Nik Stauskas,IND,$702311,stausni01
440,Juwan Morgan,IND,$576230,morgaju01
441,Malik Fitts,IND,$555217,fittsma01
442,D.J. Augustin,HOU,$333333,augusdj01
443,Wendell Moore Jr.,MIN,$230620,moorewe01
444,Ish Wainright,TOR,,wainris01
445,Troy Williams,HOU,$122741,willitr02
446,Demetrius Jackson,BOS,$92857,jacksde01
447,Armoni Brooks,TOR,$50000,brookar01
